Port2,R2_1,R2_2,R2_3,R2_4,R2_5,R2_6,Port3,R3_1,R3_2,R3_3,R3_4,R3_5,R3_6,Port4,R4_1,R4_2,R4_3,R4_4,R4_5,R4_6,Port1,R1_1,R1_2,R1_3,R1_4,R1_5,R1_6,timestamp
2,1.0,1.0,1.0,1.0,1.0,1.0,3,0.0004353215936096,0.0014752352262568,0.0016280193858036,0.0016105956578663,0.0012336740206386,0.0012839752696091,4,0.0104513193222946,0.0109316737595009,0.0371050629858444,0.0088512259390486,0.0214537949617907,0.0452964197709813,1,0.0105021718491384,0.0298322235746163,0.0197678073350425,0.0128997636763294,0.0178689171972246,0.0395203806603065,1691407192.0149984
2,1.0,1.0,1.0,1.0,1.0,1.0,3,0.0002823597310975,0.000641254642924,0.0058811559529648,0.0039235565627761,0.0031049787091609,0.0025248897317531,4,0.0087749086751379,0.012448928271765,0.0391046597112512,0.0030400995206979,0.0207293411386212,0.0450716413739639,1,0.0120892963787721,0.032054364201686,0.0130000468001684,0.0138316986570803,0.018227286977697,0.042302794945662,1691407192.2257204
2,1.0,1.0,1.0,1.0,1.0,1.0,3,0.0008127500984443,7.730867953358313e-05,0.0061337801996668,0.0081111486927667,0.0057564293559476,0.0035767643373704,4,0.0058685377129839,0.015728241157976,0.0333560154238215,0.0034470705760123,0.0168345917190643,0.0400621764979247,1,0.0120009408737645,0.0319985664642224,0.010718527188616,0.0115753736241221,0.0128971682977285,0.0405748646828262,1691407192.4361072
2,1.0,1.0,1.0,1.0,1.0,1.0,3,0.0008259962154505,0.0012077768753,0.0063752782012025,0.0082132960121162,0.0065847696910952,0.0039148734262698,4,0.0064017207825463,0.0160484534907793,0.0303631124619322,0.0018222716584275,0.0163612297754748,0.0367430922986478,1,0.0136312581105985,0.0316588944080894,0.0105893278635925,0.0113429998377951,0.0099137405435307,0.036406132248916,1691407192.645652
2,1.0,1.0,1.0,1.0,1.0,1.0,3,0.0008319775565734,0.000873834926815,0.0055504891923649,0.0091168756102608,0.0072580264700225,0.005144694533762,4,0.0059660140046212,0.0157827784634518,0.0272109583971657,0.0032653370431915,0.0157765037374537,0.0357224508459076,1,0.0146213580024885,0.0297969338955021,0.0106092803619037,0.0072098781098006,0.0099435109144947,0.0337369395872622,1691407192.8686447
2,1.0,1.0,1.0,1.0,1.0,1.0,3,0.0005334527698521,0.0010289296960119,0.0064188889930175,0.0103570167234749,0.0072135759499377,0.0048568421492303,4,0.0069231605335541,0.014693349789885,0.0271959358393481,0.0039525035552769,0.0183578533060658,0.0345426722902137,1,0.0152360753698176,0.0296877736841636,0.0109185086190707,0.0086245409588074,0.0089097892745738,0.0324335193936229,1691407193.070524
2,1.0,1.0,1.0,1.0,1.0,1.0,3,0.0011381755342112,0.0018751868154864,0.0052111831991453,0.010300337233041,0.0080659276663738,0.0046503776339157,4,0.0058119936300549,0.0141264087561132,0.0236250794393296,0.0067752375906442,0.0146370237661354,0.0328169046439201,1,0.0143391994998487,0.0292079959809797,0.0109155648313599,0.0119723629972571,0.0088741459743767,0.0321612694696285,1691407193.283317
2,1.0,1.0,1.0,1.0,1.0,1.0,3,0.0019042189303354,0.001932962913207,0.0050978454975573,0.0112316012332298,0.0081279336760612,0.0049527384929312,4,0.0074031190821316,0.0142603715682415,0.0278202035882498,0.0067057477646389,0.016314118564488,0.0314523763842977,1,0.0143899592620253,0.0284619719592652,0.0108151719558265,0.0082622094800591,0.0145087974093091,0.0314380387693894,1691407193.4887218
2,1.0,1.0,1.0,1.0,1.0,1.0,3,0.0009878647727718,0.0023004550760231,0.0061723518141776,0.0108921664628016,0.0085197526204629,0.006636858323649,4,0.0065510837130232,0.0138404856349599,0.0256566169697995,0.0054240435919535,0.0183701961936953,0.0327817261545723,1,0.0159066723718598,0.0283953772325865,0.0110562597778797,0.0128207758107858,0.0080869639758102,0.0313761911186553,1691407193.7033796
2,1.0,1.0,1.0,1.0,1.0,1.0,3,0.000582444426065,0.0021171970174622,0.0047133594044953,0.0110804674627613,0.008332500083325,0.0061247713929077,4,0.0056270440237416,0.0141361138126795,0.024330900243309,0.0043144807781252,0.0153798594588442,0.0333043585414023,1,0.0151705472926641,0.0286431182044202,0.0108829204534695,0.0084394737819307,0.0086926362070898,0.0324307845979717,1691407193.9202232
2,1.0,1.0,1.0,1.0,1.0,1.0,3,0.0010537552147711,0.0020454570093004,0.005557732334053,0.011161038155125,0.0090304135297267,0.0054260920145831,4,0.0067269717258651,0.0145836796957261,0.0290912476072448,0.002068130848157,0.017860459799677,0.0329765273078622,1,0.0149115743640213,0.0301926897459587,0.0103786009853443,0.0091333542791591,0.0087474599563151,0.0324555197102371,1691407194.1254785
2,1.0,1.0,1.0,1.0,1.0,1.0,3,0.0008600126456259,0.0016358258957782,0.0050372606167823,0.0111312834703779,0.0089330778473069,0.0054058144940698,4,0.006387662102895,0.0130982117011564,0.0272292594730593,0.0039226931328157,0.0182462773032732,0.033489506063275,1,0.0152638198625035,0.0296502750063006,0.0100802285389414,0.0118775284288642,0.0086271228114067,0.0338915267793898,1691407194.337707
2,1.0,1.0,1.0,1.0,1.0,1.0,3,0.001015998625557,0.002122469909744,0.005242760795893,0.0114644058858259,0.0081521650519945,0.004710007211021,4,0.0056888549074622,0.0146884074681738,0.0264895048581751,0.0047880864747569,0.0144262673475864,0.0346744244912395,1,0.0151981227278806,0.029711413045093,0.0102719709755188,0.0130183754369292,0.0090552314788822,0.0333175630201704,1691407194.5479271
2,1.0,1.0,1.0,1.0,1.0,1.0,3,0.0009287180134424,0.0019896245061254,0.0050352441917199,0.0111132967261339,0.0084901895859334,0.0052171808024441,4,0.0066166667218055,0.0136731755540028,0.0285983927703263,0.0028503744394382,0.0185725508841462,0.0344528203078704,1,0.0153094108479423,0.0306235568648827,0.0101785936033646,0.0138130513997455,0.0086929233518869,0.0321749286520957,1691407194.7601254
2,1.0,1.0,1.0,1.0,1.0,1.0,3,0.0009029536969858,0.0021850635176113,0.0048543241591461,0.0115456375962906,0.0083031651665614,0.004525970243556,4,0.0058701016936417,0.0137052574738195,0.027049324443122,0.002710234223862,0.0188735153620978,0.0374325745750466,1,0.0144232502794504,0.0300673207311169,0.0098673531713179,0.0134789963539314,0.0102008964547804,0.0338756830184588,1691407194.969813
2,1.0,1.0,1.0,1.0,1.0,1.0,3,0.0007815661679388,0.0016183363987321,0.0052192775058534,0.0117241128656897,0.0084749138313136,0.0046318297487602,4,0.0066712698428582,0.0139376124591105,0.0282805429864253,0.0030913563820743,0.0165165041167386,0.0330121253536423,1,0.0159645969098926,0.0292078253605706,0.0097070886014512,0.0136236255464776,0.0073102514580296,0.0330914349438934,1691407195.1812353
